title,metacritic,rotten_tomatoes
Queen of the Damned,30,17.05
The League of Extraordinary Gentlemen,30,17.1
Jack,31,17
Blackmail Boy,31,17.05
Say Uncle,31,17.1
The Haunting in Connecticut,33,17.05
The Happening,34,17.05
Bringing Up Bobby,34,17.1
Ordinary Sinner,35,17
The Perfect Score,35,17.05
Turistas,36,17
The Watch,36,17.05
Saw IV,36,17.1
A Hole in One,37,17
Going Under,37,17.05
Delhi Safari,37,17.1
Ouch,38,17.1
Laws of Attraction,38,17.15
Loverboy,45,17
The Ultimate Life,19,18
Saving Silverman,22,18.05
Moms' Night Out,25,18.05
A Merry Friggin' Christmas,28,18
1st Night,29,18
Dude Where's My Car?,30,18
Love in the Time of Money,30,18.05
Chapter 27,32,18.05
Transformers: Age of Extinction,32,18.1
The Christmas Candle,33,18.05
Shadowboxer,33,18.1
The Back-up Plan,34,18.1
Valentine's Day,34,18.15
Star Wars: The Clone Wars,35,18.05
Tooth Fairy,36,18
Sex Tape,36,18.05
Suspect Zero,37,18
The Medallion,38,18
Kettle of Fish,38,18.05
And So It Goes,38,18.1
Paparazzi,38,18.15
Free Birds,38,18.2
Just a Kiss,39,18
Love N' Dancing,43,18
Crazy Like a Fox,49,18
Another 48 Hrs.,23,19
Love Stinks,23,19.05
Wannabes,25,19.1
The Haunting in Connecticut 2: Ghosts of Georgia,26,19.05
She Hate Me,28,19.05
Tasting Menu,29,19
The Hangover Part III,30,19
Cop Out,31,19.05
The Ex,32,19
Collateral Damage,33,19
Lara Croft: Tomb Raider,33,19.05
Doom,34,19.1
Spawn,34,19.15
The Fourth Kind,34,19.2
Teaching Mrs. Tingle,35,19.05
Identity Thief,35,19.1
Universal Soldier,35,19.15
Inescapable,37,19.05
The Last Sin Eater,37,19.1
The Jungle Book 2,38,19.1
Sabotage,41,19
Firewall,45,19
The Invasion,45,19.05
The Learning Curve,16,20
Swearnet: The Movie,18,20
Prince of Central Park,22,20
Autumn in New York,24,20
I Hope They Serve Beer in Hell,26,20.05
The Pacifier,30,20.05
A Perfect Man,31,20
That's My Boy,31,20.05
Come Back to Me,31,20.1
Legion,32,20
Down to Earth,32,20.05
The Last Song,33,20
Urban Legend,35,20
Rumor Has It...,35,20.05
Employee of the Month,36,20
My Uncle Rafael,36,20.05
Circuit,36,20.1
The Crew,37,20
Amelia,37,20.05
The Double,37,20.1
Goats,38,20.05
Shut Up and Sing,39,20
Passengers,40,20.05
Autumn Blood,41,20
Arthur Newman,42,20.1
The Ring Two,44,20
Warrior King 2,45,20.05
The Last Days on Mars,46,20
The Wild,47,20
Hacia la oscuridad,52,20
Long Time Since,53,20
Harlem Nights,16,21
The Lodger,17,21
